iter	RMSE
0	2.005816423
1	2.000353073
2	1.99536733
3	1.989661207
4	1.985858151
5	1.980751766
6	1.975861501
7	1.970759595
8	1.965607745
9	1.960335741
10	1.955632793
11	1.950512626
12	1.946309002
13	1.941581842
14	1.93701643
15	1.933357921
16	1.930055909
17	1.926610552
18	1.922190057
19	1.918046912
20	1.913968346
21	1.910726998
22	1.90675598
23	1.902565673
24	1.898293382
25	1.894022929
26	1.890199266
27	1.88743458
28	1.883563156
29	1.881004552
30	1.877700458
31	1.874944814
32	1.872095304
33	1.868516629
34	1.865047143
35	1.861648067
36	1.85809514
37	1.854897647
38	1.852248151
39	1.848747902
40	1.845441405
41	1.842217773
42	1.838709016
43	1.83577143
44	1.832867298
45	1.829774584
46	1.827769908
47	1.825019273
48	1.822176767
49	1.819462899
50	1.816717583
51	1.813632676
52	1.81185482
53	1.809760742
54	1.807784305
55	1.805718174
56	1.803029325
57	1.801255988
58	1.799319181
59	1.796722803
60	1.794321466
61	1.792005303
62	1.789752967
63	1.787259415
64	1.784854002
65	1.782376639
66	1.780658426
67	1.778253357
68	1.776024211
69	1.773981189
70	1.771709283
71	1.769575145
72	1.767355077
73	1.765422764
74	1.763237485
75	1.76131066
76	1.75924679
77	1.758397469
78	1.756590513
79	1.754629575
80	1.752812648
81	1.750861796
82	1.748708935
83	1.746721403
84	1.744393425
85	1.743007851
86	1.74117107
87	1.739466113
88	1.737719148
89	1.735970924
90	1.735004166
91	1.734072094
92	1.732485309
93	1.730708555
94	1.728968797
95	1.72688106
96	1.726010021
97	1.72396725
98	1.722414385
99	1.720873247
100	1.719917641
101	1.718495383
102	1.717477837
103	1.716000527
104	1.71451784
105	1.713060154
106	1.711886208
107	1.711460912
108	1.709708685
109	1.708675116
110	1.707835891
111	1.706958222
112	1.70576441
113	1.70446181
114	1.70308625
115	1.701789927
116	1.7008063
117	1.699471471
118	1.697775789
119	1.696701836
120	1.695941087
121	1.694758458
122	1.693335859
123	1.692452503
124	1.691591497
125	1.690451722
126	1.689621161
127	1.688366706
128	1.68744865
129	1.686232794
130	1.684944544
131	1.683866239
132	1.682414354
133	1.681260451
134	1.680332673
135	1.679533207
136	1.678855691
137	1.677935036
138	1.677218793
139	1.676154453
140	1.675719763
141	1.675037154
142	1.6737858
143	1.67265426
144	1.671675898
145	1.671082496
146	1.669817677
147	1.669072244
148	1.667831037
149	1.66731417
150	1.666689404
151	1.665862204
152	1.665086373
153	1.664112749
154	1.663327226
155	1.662410825
156	1.661708422
157	1.661060876
158	1.660226318
159	1.659239331
160	1.658824546
161	1.65770918
162	1.656670154
163	1.65589154
164	1.655029115
165	1.65448684
166	1.653458215
167	1.652806035
168	1.652169314
169	1.651857899
170	1.651540039
171	1.650808862
172	1.649944
173	1.649120011
174	1.6487639
175	1.648250768
176	1.647385413
177	1.646613009
178	1.645915558
179	1.64540369
180	1.644591935
181	1.644019259
182	1.643261551
183	1.641998563
184	1.641164548
185	1.640517533
186	1.640143288
187	1.639905077
188	1.639211855
189	1.638567921
190	1.637978674
191	1.637560414
192	1.637158465
193	1.636871998
194	1.636135148
195	1.635731764
196	1.635029051
197	1.634452032
198	1.633740077
199	1.633403363
